  r          G(r)    dr      dG(r)
  6.560     16.179   0.0     8.5838
  6.570     15.302   0.0     8.6149
  6.580     14.081   0.0     8.6312
  6.590     12.596   0.0     8.6230
  6.600     10.935   0.0     8.5951
  6.610      9.179   0.0     8.5639
  6.620      7.397   0.0     8.5483
  6.630      5.648   0.0     8.5575
  6.640      3.972   0.0     8.5857
  6.650      2.395   0.0     8.6154
  6.660      0.933   0.0     8.6286
  6.670     -0.409   0.0     8.6172
  6.680     -1.628   0.0     8.5879
  6.690     -2.724   0.0     8.5584
  6.700     -3.693   0.0     8.5467
  6.710     -4.530   0.0     8.5599
  6.720     -5.226   0.0     8.5896
  6.730     -5.773   0.0     8.6177
  6.740     -6.162   0.0     8.6267
  6.750     -6.390   0.0     8.6112
  6.760     -6.460   0.0     8.5806
  6.770     -6.386   0.0     8.5536
  6.780     -6.187   0.0     8.5475
  6.790     -5.894   0.0     8.5666
  6.800     -5.542   0.0     8.5998
  6.810     -5.171   0.0     8.6272
  6.820     -4.817   0.0     8.6319
  6.830     -4.513   0.0     8.6105
  6.840     -4.283   0.0     8.5749
  6.850     -4.138   0.0     8.5459
  6.860     -4.079   0.0     8.5410
  6.870     -4.092   0.0     8.5632
  6.880     -4.152   0.0     8.5998
  6.890     -4.226   0.0     8.6294
  6.900     -4.279   0.0     8.6351
  6.910     -4.274   0.0     8.6139
  6.920     -4.178   0.0     8.5786
  6.930     -3.967   0.0     8.5500
  6.940     -3.629   0.0     8.5450
  6.950     -3.159   0.0     8.5657
  6.960     -2.570   0.0     8.5990
  6.970     -1.882   0.0     8.6242
  6.980     -1.123   0.0     8.6257
  6.990     -0.330   0.0     8.6026
  7.000      0.461   0.0     8.5686
  7.010      1.213   0.0     8.5443
  7.020      1.892   0.0     8.5449
  7.030      2.471   0.0     8.5703
  7.040      2.928   0.0     8.6059
  7.050      3.252   0.0     8.6308
  7.060      3.437   0.0     8.6306
  7.070      3.485   0.0     8.6057
  7.080      3.404   0.0     8.5711
  7.090      3.209   0.0     8.5473
  7.100      2.917   0.0     8.5486
