  r          G(r)    dr      dG(r)
  6.970     -1.072   0.0     0.3895
  6.980     -0.349   0.0     0.3897
  6.990      0.441   0.0     0.3888
  7.000      1.275   0.0     0.3876
  7.010      2.123   0.0     0.3867
  7.020      2.951   0.0     0.3868
  7.030      3.726   0.0     0.3879
  7.040      4.413   0.0     0.3894
  7.050      4.980   0.0     0.3903
  7.060      5.401   0.0     0.3902
  7.070      5.658   0.0     0.3891
  7.080      5.739   0.0     0.3875
  7.090      5.645   0.0     0.3865
  7.100      5.385   0.0     0.3865
  7.110      4.977   0.0     0.3875
  7.120      4.449   0.0     0.3889
  7.130      3.833   0.0     0.3899
  7.140      3.164   0.0     0.3899
  7.150      2.479   0.0     0.3890
  7.160      1.811   0.0     0.3876
  7.170      1.185   0.0     0.3868
  7.180      0.625   0.0     0.3868
  7.190      0.142   0.0     0.3878
  7.200     -0.257   0.0     0.3889
  7.210     -0.574   0.0     0.3896
  7.220     -0.814   0.0     0.3894
  7.230     -0.983   0.0     0.3885
  7.240     -1.091   0.0     0.3875
  7.250     -1.142   0.0     0.3870
  7.260     -1.141   0.0     0.3874
  7.270     -1.085   0.0     0.3885
  7.280     -0.971   0.0     0.3895
  7.290     -0.794   0.0     0.3898
  7.300     -0.550   0.0     0.3893
  7.310     -0.236   0.0     0.3881
  7.320      0.146   0.0     0.3870
  7.330      0.584   0.0     0.3867
  7.340      1.063   0.0     0.3873
  7.350      1.558   0.0     0.3885
  7.360      2.039   0.0     0.3896
  7.370      2.475   0.0     0.3898
  7.380      2.835   0.0     0.3891
  7.390      3.094   0.0     0.3878
  7.400      3.234   0.0     0.3867
  7.410      3.250   0.0     0.3866
  7.420      3.151   0.0     0.3874
  7.430      2.956   0.0     0.3888
  7.440      2.699   0.0     0.3899
  7.450      2.419   0.0     0.3902
  7.460      2.158   0.0     0.3894
  7.470      1.957   0.0     0.3880
  7.480      1.848   0.0     0.3868
