# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: K and K
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  G(r)_norm           g(r)_unnonorm       g(r)_unnorm_cumsum  
10.65000            -57.46099           2.00000             204480.00000        
10.67000            -55.83735           10.00000            205920.00000        
10.69000            -55.08516           14.00000            207936.00000        
10.71000            -56.06289           10.00000            209376.00000        
10.73000            -57.46825           4.00000             209952.00000        
10.75000            -56.71844           8.00000             211104.00000        
10.77000            -56.40108           10.00000            212544.00000        
10.79000            -57.79921           4.00000             213120.00000        
10.81000            -57.90952           4.00000             213696.00000        
10.83000            -57.16604           8.00000             214848.00000        
10.85000            -58.13012           4.00000             215424.00000        
10.87000            -57.81509           6.00000             216288.00000        
10.89000            -57.50161           8.00000             217440.00000        
10.91000            -56.76592           12.00000            219168.00000        
10.93000            -57.72528           8.00000             220320.00000        
10.95000            -58.68152           4.00000             220896.00000        
10.97000            -58.37034           6.00000             221760.00000        
10.99000            -58.06068           8.00000             222912.00000        
11.01000            -58.59238           6.00000             223776.00000        
11.03000            -58.28423           8.00000             224928.00000        
11.05000            -59.65117           2.00000             225216.00000        
11.07000            -58.09010           10.00000            226656.00000        
11.09000            -59.87013           2.00000             226944.00000        
11.11000            -60.39573           0.00000             226944.00000        
